Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
4,LeBron James,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
5,Isaiah Thomas,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
6,Stephen Curry,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229
7,Giannis Antetokounmpo,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
7,John Wall,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149
9,Anthony Davis,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195
9,Kevin Durant,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278
11,DeMar DeRozan,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166
1,Stephen Curry,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
2,Kawhi Leonard,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277
3,LeBron James,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
4,Russell Westbrook,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245
5,Kevin Durant,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27
6,Chris Paul,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253
7,Draymond Green,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
8,Damian Lillard,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
9,James Harden,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
10,Kyle Lowry,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
1,Stephen Curry,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288
2,James Harden,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265
3,LeBron James,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199
4,Russell Westbrook,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222
5,Anthony Davis,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274
6,Chris Paul,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27
7,LaMarcus Aldridge,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165
8,Marc Gasol,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182
8,Blake Griffin,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183
10,Tim Duncan,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207
10,Kawhi Leonard,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204
10,Klay Thompson,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172
1,Kevin Durant,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
2,LeBron James,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264
3,Blake Griffin,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205
4,Joakim Noah,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19
5,James Harden,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221
6,Stephen Curry,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225
7,Chris Paul,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27
8,Al Jefferson,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
9,Paul George,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178
10,LaMarcus Aldridge,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144
11,Kevin Love,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245
12,Tim Duncan,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164
12,Tony Parker,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141
14,Dirk Nowitzki,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199
15,Carmelo Anthony,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172
16,Goran Dragic,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
17,Mike Conley,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,0.161
1,LeBron James,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
